Time,TPS,Response time,Response time standard deviation
3400,13398,14402.0,11301.903333333334
3410,11234,17066.333333333332,28598.046666666665
3420,13820,13627.333333333334,8703.066666666666
3430,13572,14854.666666666666,14670.333333333334
3440,13528,14007.333333333334,10783.539999999999
3450,13188,15027.666666666666,18734.836666666666
3460,14285,13530.333333333334,9016.539999999999
3470,15052,12850.333333333334,8684.156666666668
3480,12247,14943.333333333334,16928.783333333336
3490,13338,15208.0,15826.926666666666
3500,13158,14891.666666666666,12245.919999999998
3510,14478,12671.666666666666,7741.066666666666
3520,13687,14786.666666666666,16794.733333333334
3530,14391,13482.0,8046.7
3540,14046,13743.333333333334,11501.586666666664
3550,14290,13588.0,11231.426666666666
3560,12019,15353.0,17483.036666666667
3570,14258,14647.666666666666,14875.26
3580,13394,14577.666666666666,14661.226666666667
3590,14228,13690.666666666666,7721.419999999999
3600,13400,14023.0,12845.883333333333
3610,14890,13183.0,9524.34
3620,15317,12767.0,8005.57
3630,14164,13558.0,11338.916666666666
3640,12798,15644.0,18651.61666666667
3650,11026,14984.666666666666,13317.69
3660,12853,17567.333333333332,36806.18
3670,12882,14662.333333333334,18103.046666666665
3680,14366,13606.333333333334,10718.776666666667
3690,13688,14528.0,15191.163333333336
3700,13992,13794.666666666666,10406.970000000001
3710,14406,13336.0,8192.256666666666
3720,11924,16986.333333333332,24694.86
3730,14042,13713.0,11831.076666666668
3740,14614,13243.0,8077.080000000001
3750,11093,22301.666666666668,49587.81333333333
3760,14712,13307.333333333334,10540.056666666665
3770,14763,13067.666666666666,7527.003333333334
3780,15306,12558.333333333334,9217.913333333334
3790,13746,14015.333333333334,11586.779999999999
3800,12636,13684.666666666666,9093.533333333333
3810,12434,18285.666666666668,38373.61666666667
3820,13096,14467.0,13028.213333333333
3830,13627,14015.0,11287.456666666665
3840,12911,14907.666666666666,15719.970000000001
3850,13400,14861.0,14278.510000000002
3860,13059,15004.333333333334,16328.029999999999
3870,12971,15377.333333333334,15161.853333333333
3880,14708,13173.333333333334,7903.316666666667
3890,14296,13278.666666666666,8307.463333333333
3900,11180,22850.333333333332,48448.83666666666
3910,14744,13087.333333333334,8435.166666666666
3920,15162,12742.666666666666,7611.490000000001
3930,14598,13248.333333333334,8950.856666666667
3940,13762,13852.0,10350.503333333334
3950,15198,12795.333333333334,8838.273333333333
3960,11263,14099.333333333334,8409.343333333332
3970,13817,17024.333333333332,34582.333333333336
3980,13323,14339.666666666666,13800.493333333332
3990,13394,15011.666666666666,13162.76
4000,12995,15048.0,14280.273333333336
4010,11711,16922.0,25245.163333333334
4020,14004,13946.333333333334,9167.06
4030,13044,15825.0,15110.366666666667
4040,14625,13241.666666666666,9202.596666666666
4050,14246,13105.666666666666,7888.136666666666
4060,12397,18774.666666666668,39328.316666666666
4070,14848,13048.0,9002.243333333334
4080,14278,13563.0,8338.31
4090,14350,13421.333333333334,10504.976666666667
4100,14032,13737.0,9886.076666666666
4110,13619,14194.333333333334,11760.863333333335
4120,15128,12745.666666666666,7392.75
4130,13665,14163.0,13446.050000000001
4140,13864,14070.0,12767.699999999999
4150,12487,15887.0,24885.32666666667
4160,11892,16649.666666666668,20954.773333333334
4170,12977,14964.0,13695.300000000001
4180,14755,13237.0,8281.26
4190,14607,13218.0,7320.123333333333
4200,14595,12962.0,7411.29
4210,14416,13790.666666666666,10696.396666666667
4220,12723,15488.333333333334,16898.36666666667
4230,14636,13179.333333333334,7620.280000000002
4240,13245,14591.333333333334,14824.123333333335
4250,14603,13388.666666666666,9109.646666666666
4260,13954,13781.666666666666,11197.383333333333
4270,12703,16115.333333333334,21752.203333333335
4280,14019,13911.0,9719.230000000001
4290,13796,13976.666666666666,10789.416666666666
4300,12577,15815.0,21787.61
4310,13677,14110.0,8841.523333333333
4320,11829,17090.0,23829.50333333333
4330,14544,13180.333333333334,7918.4800000000005
4340,15345,12679.0,6671.746666666666
4350,14922,12848.666666666666,6935.07
4360,13789,14247.0,13447.279999999999
4370,12964,15233.333333333334,15968.82
4380,13010,14890.333333333334,13136.080000000002
4390,13756,14238.0,13785.56
4400,14972,12849.666666666666,8987.033333333333
4410,15035,12876.333333333334,9112.1
4420,11548,17198.0,24327.783333333336
4430,12918,15006.666666666666,13951.79
4440,14527,13251.333333333334,8420.07
4450,13053,14104.333333333334,10692.326666666666
4460,12948,15913.666666666666,20049.756666666668
4470,12727,15151.333333333334,14130.470000000001
4480,13916,13928.666666666666,9036.550000000001
4490,14734,13137.666666666666,8191.656666666667
4500,14528,13344.666666666666,6348.19
4510,12812,14760.666666666666,14944.183333333334
4520,12622,14476.333333333334,12518.36
4530,11180,18422.333333333332,29150.876666666667
4540,12806,14634.333333333334,10519.033333333333
4550,14359,14146.333333333334,14081.786666666667
4560,14673,13146.0,8752.306666666667
4570,12877,13627.333333333334,8425.963333333333
4580,13200,16165.0,21879.78
4590,14619,13276.666666666666,12015.68
4600,13614,14166.0,10061.366666666667
4610,12995,14894.333333333334,10055.223333333333
4620,13339,14420.666666666666,11746.633333333331
4630,13403,14317.666666666666,12021.366666666667
4640,14565,13396.0,8013.043333333332
4650,14558,13240.333333333334,6638.31
4660,14567,13215.333333333334,8358.363333333333
4670,12926,14374.333333333334,13635.11
4680,12277,16680.666666666668,20639.56
4690,12706,15172.333333333334,14875.69
4700,14044,13770.666666666666,13048.98666666667
4710,14014,13783.0,10031.39
4720,13636,14287.0,9952.31
4730,13876,13934.0,9242.699999999999
4740,13964,13895.333333333334,11904.946666666665
4750,14575,13333.333333333334,6792.426666666666
4760,13403,14527.333333333334,13136.163333333332
4770,13370,14447.333333333334,9650.573333333334
4780,13087,14765.666666666666,11417.58
4790,14241,13635.0,9002.683333333332
4800,14599,13144.333333333334,7065.259999999999
4810,13512,14477.0,10580.346666666666
4820,11169,18664.333333333332,28499.059999999998
4830,12789,15366.0,19537.736666666668
4840,13469,14278.333333333334,15089.213333333333
4850,11909,16364.666666666666,22646.696666666667
4860,13782,14076.666666666666,12104.47666666667
4870,14919,12874.0,9256.723333333333
4880,13456,14460.0,9586.916666666666
4890,14404,13376.666666666666,8026.036666666667
4900,11177,23566.0,46602.369999999995
4910,14470,13313.666666666666,8575.85
4920,14047,13746.0,9558.53
4930,13817,14206.333333333334,10589.613333333333
