Time,TPS,Responsetime,Responsetimestandarddeviation
2700,14200,13703.666666666666,11646.300000000001
2710,13833,13957.666666666666,15375.363333333335
2720,14234,13555.0,11445.849999999999
2730,13806,13891.666666666666,12755.159999999998
2740,13704,14168.0,15598.606666666667
2750,14140,13641.333333333334,13314.470000000001
2760,13817,13993.0,11831.36
2770,14437,13370.333333333334,9235.95
2780,14279,13510.333333333334,9009.316666666668
2790,13885,13897.666666666666,11586.366666666667
2800,13803,13985.666666666666,11670.61
2810,13622,14195.666666666666,10293.566666666666
2820,13307,14503.666666666666,15067.996666666666
2830,13733,14056.0,12511.1
2840,13699,14055.666666666666,12076.633333333333
2850,13359,14403.666666666666,10052.583333333334
2860,14342,13475.333333333334,9239.563333333334
2870,14102,13681.0,10703.83
2880,14301,13471.0,10969.519999999999
2890,14003,13770.666666666666,11492.313333333334
2900,13528,14250.333333333334,12990.123333333331
2910,14287,13493.333333333334,9953.583333333334
2920,13749,13999.333333333334,9797.166666666666
2930,13889,13913.333333333334,10563.236666666666
2940,13480,14289.0,11308.946666666665
2950,13330,14467.0,12617.723333333333
2960,13812,13956.666666666666,11974.980000000001
2970,12921,14921.0,33703.59333333334
2980,13983,13766.666666666666,11479.516666666668
2990,13707,14084.666666666666,15140.813333333334
3000,14263,13530.0,11529.053333333331
3010,13720,14062.0,13701.87
3020,14270,13524.666666666666,10140.609999999999
3030,13882,13916.0,12849.596666666666
3040,13071,14707.666666666666,20702.929999999997
3050,13565,14289.0,16605.683333333334
3060,13336,14475.666666666666,11262.460000000001
3070,12884,14974.0,17462.3
3080,13637,14112.0,15714.169999999998
3090,14122,13710.666666666666,10735.84
3100,14599,13208.333333333334,8644.0
3110,13546,14247.333333333334,12640.93
3120,13607,14204.333333333334,14437.800000000001
3130,14076,13571.0,10348.416666666666
3140,12764,15287.333333333334,24462.566666666666
3150,13620,14169.333333333334,12392.963333333333
3160,13419,14387.0,14911.256666666666
3170,14258,13555.666666666666,12676.340000000002
3180,13772,14015.666666666666,13908.763333333334
3190,13989,13799.0,12355.150000000001
3200,13183,14640.0,30072.803333333333
3210,13687,14117.666666666666,14589.513333333334
3220,13651,14142.666666666666,11681.913333333336
3230,13362,14423.0,12500.546666666667
3240,13440,14425.0,13662.779999999999
3250,14097,13704.0,10170.646666666666
